import time: self [us] | cumulative | imported package
import time:       213 |        213 |   _io
import time:        37 |         37 |   marshal
import time:       241 |        241 |   posix
import time:       489 |        980 | _frozen_importlib_external
import time:        87 |         87 |   time
import time:       242 |        328 | zipimport
import time:        58 |         58 |     _codecs
import time:       393 |        451 |   codecs
import time:       343 |        343 |   encodings.aliases
import time:       564 |       1357 | encodings
import time:       213 |        213 | encodings.utf_8
import time:       184 |        184 | _signal
import time:       211 |        211 | encodings.latin_1
import time:        38 |         38 |     _abc
import time:       211 |        249 |   abc
import time:       235 |        483 | io
import time:       130 |        130 |       _stat
import time:       222 |        352 |     stat
import time:       903 |        903 |     _collections_abc
import time:       141 |        141 |       genericpath
import time:       192 |        332 |     posixpath
import time:       548 |       2134 |   os
import time:       160 |        160 |   _sitebuiltins
import time:        70 |         70 |     _locale
import time:       128 |        197 |   _bootlocale
import time:        36 |         36 |           _heapq
import time:       173 |        208 |         heapq
import time:       159 |        159 |         itertools
import time:       120 |        120 |         keyword
import time:        57 |         57 |           _operator
import time:       256 |        313 |         operator
import time:       155 |        155 |         reprlib
import time:        59 |         59 |         _collections
import time:      1254 |       2266 |       collections
import time:       220 |        220 |       types
import time:        45 |         45 |       _functools
import time:       583 |       3113 |     functools
import time:       221 |        221 |         warnings
import time:       163 |        384 |       importlib
import time:       128 |        128 |       importlib.machinery
import time:       164 |        164 |         collections.abc
import time:       404 |        404 |         contextlib
import time:       806 |        806 |           enum
import time:        57 |         57 |             _sre
import time:       346 |        346 |               sre_constants
import time:       309 |        655 |             sre_parse
import time:       250 |        961 |           sre_compile
import time:       160 |        160 |           copyreg
import time:       550 |       2475 |         re
import time:      1863 |       4905 |       typing
import time:       530 |       5945 |     importlib.abc
import time:       235 |        235 |     importlib.util
import time:       554 |       9846 |   _virtualenv
import time:       172 |        172 |     apport_python_hook
import time:       537 |        708 |   sitecustomize
import time:      5936 |      18980 | site
import time:       368 |        368 |   cirq._import
import time:       120 |        120 |   cirq._version
import time:       142 |        142 |   cirq._doc
import time:       120 |        120 |   cirq.type_workarounds
import time:       236 |        236 |     cirq.value.abc_alt
import time:       221 |        221 |         numpy._globals
import time:       137 |        137 |         numpy.__config__
import time:       110 |        110 |         numpy.version
import time:       105 |        105 |         numpy._distributor_init
import time:      1678 |       1678 |               textwrap
import time:       119 |        119 |                   math
import time:       542 |        542 |                   _datetime
import time:      1722 |       2381 |                 datetime
import time:      6745 |       9126 |               numpy.core._multiarray_umath
import time:       268 |        268 |                   numpy.compat._inspect
import time:       354 |        354 |                       fnmatch
import time:       270 |        270 |                         nt
import time:       265 |        265 |                         nt
import time:       232 |        232 |                         nt
import time:       229 |        229 |                         nt
import time:       480 |       1473 |                       ntpath
import time:        82 |         82 |                       errno
import time:       306 |        306 |                         urllib
import time:      2309 |       2615 |                       urllib.parse
import time:      1136 |       5658 |                     pathlib
import time:       254 |        254 |                     pickle5
import time:        78 |         78 |                         _struct
import time:       318 |        396 |                       struct
import time:       465 |        465 |                       _compat_pickle
import time:       439 |        439 |                       _pickle
import time:       426 |        426 |                           org
import time:        22 |        448 |                         org.python
import time:        21 |        468 |                       org.python.core
import time:      1200 |       2966 |                     pickle
import time:       248 |       9125 |                   numpy.compat.py3k
import time:       302 |       9693 |                 numpy.compat
import time:        28 |       9720 |               numpy.compat._inspect
import time:       449 |      20972 |             numpy.core.overrides
import time:      3478 |      24449 |           numpy.core.multiarray
import time:       246 |        246 |           numpy.core.umath
import time:       580 |        580 |             numbers
import time:       231 |        231 |             numpy.core._string_helpers
import time:       265 |        265 |               numpy.core._dtype
import time:       522 |        787 |             numpy.core._type_aliases
import time:       552 |       2148 |           numpy.core.numerictypes
import time:       637 |        637 |               numpy.core._asarray
import time:       370 |        370 |                   numpy.core._exceptions
import time:       285 |        654 |                 numpy.core._methods
import time:      4048 |       4702 |               numpy.core.fromnumeric
import time:       864 |       6203 |             numpy.core.shape_base
import time:       261 |        261 |             numpy.core._ufunc_config
import time:       962 |        962 |             numpy.core.arrayprint
import time:      2583 |      10007 |           numpy.core.numeric
import time:      4204 |       4204 |           numpy.core.defchararray
import time:       394 |        394 |           numpy.core.records
import time:       218 |        218 |           numpy.core.memmap
import time:       536 |        536 |           numpy.core.function_base
import time:       199 |        199 |           numpy.core.machar
import time:       415 |        415 |           numpy.core.getlimits
import time:       490 |        490 |           numpy.core.einsumfunc
import time:       455 |        455 |             numpy.core._multiarray_tests
import time:      2006 |       2460 |           numpy.core._add_newdocs
import time:       582 |        582 |           numpy.core._add_newdocs_scalars
import time:       167 |        167 |           numpy.core._dtype_ctypes
import time:        72 |         72 |               _ast
import time:      1495 |       1567 |             ast
import time:      1491 |       1491 |                 signal
import time:       390 |        390 |                   _weakrefset
import time:       851 |       1241 |                 threading
import time:        55 |         55 |                 pwd
import time:        44 |         44 |                 grp
import time:       246 |        246 |                 msvcrt
import time:       334 |        334 |                 _posixsubprocess
import time:        63 |         63 |                 select
import time:       768 |        768 |                 selectors
import time:       840 |       5077 |               subprocess
import time:      4317 |       9394 |             platform
import time:       906 |        906 |               _ctypes
import time:       300 |        300 |               ctypes._endian
import time:      1070 |       2275 |             ctypes
import time:      1250 |      14484 |           numpy.core._internal
import time:       204 |        204 |           numpy._pytesttester
import time:       737 |      61933 |         numpy.core
import time:       323 |        323 |           numpy.lib.mixins
import time:       447 |        447 |               numpy.lib.ufunclike
import time:      1101 |       1548 |             numpy.lib.type_check
import time:       926 |       2474 |           numpy.lib.scimath
import time:      1259 |       1259 |                     numpy.lib.twodim_base
import time:       307 |        307 |                     numpy.linalg.lapack_lite
import time:       384 |        384 |                     numpy.linalg._umath_linalg
import time:      2283 |       4231 |                   numpy.linalg.linalg
import time:       210 |       4441 |                 numpy.linalg
import time:       469 |       4909 |               numpy.matrixlib.defmatrix
import time:       172 |       5080 |             numpy.matrixlib
import time:       535 |        535 |               numpy.lib.histograms
import time:      3060 |       3594 |             numpy.lib.function_base
import time:       515 |        515 |             numpy.lib.stride_tricks
import time:       752 |       9940 |           numpy.lib.index_tricks
import time:      1534 |       1534 |           numpy.lib.nanfunctions
import time:      1362 |       1362 |           numpy.lib.shape_base
import time:      1334 |       1334 |           numpy.lib.polynomial
import time:       947 |        947 |           numpy.lib.utils
import time:       906 |        906 |           numpy.lib.arraysetops
import time:       740 |        740 |             weakref
import time:       265 |        265 |             numpy.lib.format
import time:        89 |         89 |                 zlib
import time:       390 |        390 |                   _compression
import time:       637 |        637 |                   _bz2
import time:       537 |       1563 |                 bz2
import time:       683 |        683 |                   _lzma
import time:       438 |       1121 |                 lzma
import time:       767 |       3538 |               shutil
import time:       272 |       3809 |             numpy.lib._datasource
import time:       393 |        393 |             numpy.lib._iotools
import time:      1129 |       6335 |           numpy.lib.npyio
import time:       201 |        201 |           numpy.lib.arrayterator
import time:       470 |        470 |           numpy.lib.arraypad
import time:       186 |        186 |           numpy.lib._version
import time:       491 |      26498 |         numpy.lib
import time:       238 |        238 |             numpy.fft._pocketfft_internal
import time:      1495 |       1733 |           numpy.fft._pocketfft
import time:       373 |        373 |           numpy.fft.helper
import time:       209 |       2315 |         numpy.fft
import time:       305 |        305 |             numpy.polynomial.polyutils
import time:       493 |        493 |             numpy.polynomial._polybase
import time:       438 |       1235 |           numpy.polynomial.polynomial
import time:       758 |        758 |           numpy.polynomial.chebyshev
import time:       323 |        323 |           numpy.polynomial.legendre
import time:       316 |        316 |           numpy.polynomial.hermite
import time:       440 |        440 |           numpy.polynomial.hermite_e
import time:       316 |        316 |           numpy.polynomial.laguerre
import time:       272 |       3658 |         numpy.polynomial
import time:       254 |        254 |                   backports_abc
import time:       750 |       1003 |                 numpy.random._common
import time:        88 |         88 |                     binascii
import time:      1220 |       1308 |                   base64
import time:      2075 |       2075 |                     _hashlib
import time:       105 |        105 |                       _blake2
import time:       437 |        542 |                     hashlib
import time:       497 |       3113 |                   hmac
import time:        48 |         48 |                       _bisect
import time:      2428 |       2475 |                     bisect
import time:        48 |         48 |                     _random
import time:        53 |         53 |                     _sha512
import time:       606 |       3180 |                   random
import time:       351 |       7950 |                 secrets
import time:      1032 |       9984 |               numpy.random.bit_generator
import time:       389 |        389 |               numpy.random._bounded_integers
import time:       351 |        351 |               numpy.random._mt19937
import time:      1323 |      12046 |             numpy.random.mtrand
import time:       382 |        382 |             numpy.random._philox
import time:       402 |        402 |             numpy.random._pcg64
import time:       297 |        297 |             numpy.random._sfc64
import time:       786 |        786 |             numpy.random._generator
import time:       285 |      14196 |           numpy.random._pickle
import time:       268 |      14463 |         numpy.random
import time:       512 |        512 |         numpy.ctypeslib
import time:       398 |        398 |                   _opcode
import time:       512 |        910 |                 opcode
import time:       610 |       1520 |               dis
import time:       373 |        373 |                   token
import time:      1460 |       1833 |                 tokenize
import time:       348 |       2180 |               linecache
import time:      2094 |       5792 |             inspect
import time:      3426 |       9218 |           numpy.ma.core
import time:      1691 |       1691 |           numpy.ma.extras
import time:       296 |      11205 |         numpy.ma
import time:      2620 |     123771 |       numpy
import time:       225 |        225 |           mpmath.usertools
import time:       247 |        247 |                       gmpy2
import time:       187 |        187 |                       gmpy
import time:       206 |        639 |                     mpmath.libmp.backend
import time:       754 |        754 |                     mpmath.libmp.libintmath
import time:      1091 |       2482 |                   mpmath.libmp.libmpf
import time:       318 |        318 |                     mpmath.libmp.libelefun
import time:       288 |        606 |                   mpmath.libmp.libmpc
import time:      1222 |       1222 |                     mpmath.libmp.gammazeta
import time:       430 |       1652 |                   mpmath.libmp.libhyper
import time:       269 |        269 |                   mpmath.libmp.libmpi
import time:       331 |       5337 |                 mpmath.libmp
import time:        25 |       5361 |               mpmath.libmp.backend
import time:        60 |         60 |                     cmath
import time:       437 |        497 |                   mpmath.functions.functions
import time:       157 |        157 |                   mpmath.functions.factorials
import time:       282 |        282 |                   mpmath.functions.hypergeometric
import time:       294 |        294 |                   mpmath.functions.expintegrals
import time:       267 |        267 |                   mpmath.functions.bessel
import time:       172 |        172 |                   mpmath.functions.orthogonal
import time:       154 |        154 |                   mpmath.functions.theta
import time:       889 |        889 |                   mpmath.functions.elliptic
import time:       331 |        331 |                     __future__
import time:       292 |        622 |                   mpmath.functions.zeta
import time:       213 |        213 |                   mpmath.functions.rszeta
import time:       328 |        328 |                   mpmath.functions.zetazeros
import time:       172 |        172 |                   mpmath.functions.qfunctions
import time:       406 |       4446 |                 mpmath.functions
import time:        21 |       4466 |               mpmath.functions.functions
import time:       171 |        171 |                   mpmath.calculus.calculus
import time:       143 |        143 |                   mpmath.calculus.approximation
import time:       191 |        191 |                   mpmath.calculus.differentiation
import time:       306 |        306 |                   mpmath.calculus.extrapolation
import time:       148 |        148 |                   mpmath.calculus.polynomials
import time:       244 |       1201 |                 mpmath.calculus
import time:       332 |       1532 |               mpmath.calculus.quadrature
import time:       231 |        231 |               mpmath.calculus.inverselaplace
import time:       187 |        187 |                       org
import time:        22 |        209 |                     org.python
import time:        17 |        226 |                   org.python.core
import time:       303 |        529 |                 copy
import time:       301 |        829 |               mpmath.calculus.optimization
import time:       160 |        160 |               mpmath.calculus.odes
import time:       213 |        213 |                   mpmath.matrices.eigen
import time:       193 |        193 |                   mpmath.matrices.eigen_symmetric
import time:       181 |        586 |                 mpmath.matrices
import time:       339 |        924 |               mpmath.matrices.matrices
import time:       190 |        190 |               mpmath.matrices.calculus
import time:       203 |        203 |               mpmath.matrices.linalg
import time:       210 |        210 |               mpmath.identification
import time:       266 |        266 |                 colorsys
import time:       209 |        475 |               mpmath.visualization
import time:       420 |      14996 |             mpmath.ctx_base
import time:       319 |        319 |             mpmath.math2
import time:       397 |        397 |             mpmath.function_docs
import time:       343 |      16052 |           mpmath.ctx_fp
import time:       204 |        204 |             mpmath.rational
import time:      2506 |       2506 |             mpmath.ctx_mp_python
import time:       960 |       3669 |           mpmath.ctx_mp
import time:       417 |        417 |           mpmath.ctx_iv
import time:      2124 |      22486 |         mpmath
import time:       203 |        203 |         sympy.release
import time:        41 |         41 |               _string
import time:      1005 |       1046 |             string
import time:       214 |        214 |                     sympy.utilities.enumerative
import time:       200 |        200 |                     sympy.utilities.misc
import time:       421 |        421 |                             traceback
import time:       296 |        296 |                               cmd
import time:       402 |        402 |                               bdb
import time:       264 |        264 |                                 codeop
import time:       302 |        565 |                               code
import time:       456 |        456 |                               glob
import time:      1019 |       1019 |                               pprint
import time:       735 |       3471 |                             pdb
import time:        49 |         49 |                               gc
import time:       317 |        366 |                             timeit
import time:       772 |        772 |                               difflib
import time:       224 |        224 |                                   unittest.util
import time:       293 |        517 |                                 unittest.result
import time:       618 |        618 |                                 unittest.case
import time:       226 |        226 |                                 unittest.suite
import time:       612 |        612 |                                 unittest.loader
import time:      1490 |       1490 |                                     gettext
import time:       882 |       2371 |                                   argparse
import time:       139 |        139 |                                     unittest.signals
import time:       217 |        355 |                                   unittest.runner
import time:       307 |       3032 |                                 unittest.main
import time:       418 |       5420 |                               unittest
import time:      2885 |       9076 |                             doctest
import time:       498 |        498 |                             tempfile
import time:       217 |        217 |                             sympy.core.cache
import time:       359 |        359 |                               sympy.external.importtools
import time:       163 |        522 |                             sympy.external
import time:       187 |        187 |                               gmpy2
import time:       873 |        873 |                                   _decimal
import time:       250 |       1123 |                                 decimal
import time:      1284 |       1284 |                                 fractions
import time:       210 |       2616 |                               sympy.external.pythonmpq
import time:       205 |       3007 |                             sympy.external.gmpy
import time:      1086 |      18659 |                           sympy.testing.runtests
import time:       138 |      18796 |                         sympy.testing
import time:        24 |      18820 |                       sympy.testing.runtests
import time:       195 |        195 |                       sympy.utilities.exceptions
import time:       201 |      19215 |                     sympy.utilities.decorator
import time:       557 |      20185 |                   sympy.utilities.iterables
import time:       519 |        519 |                   sympy.utilities.lambdify
import time:       142 |        142 |                   sympy.utilities.source
import time:       143 |        143 |                   sympy.utilities.timeutils
import time:       192 |      21179 |                 sympy.utilities
import time:        24 |      21203 |               sympy.utilities.iterables
import time:       188 |      21390 |             sympy.core.random
import time:       187 |        187 |             sympy.core.parameters
import time:       392 |        392 |                   sympy.core.logic
import time:       231 |        622 |                 sympy.core.facts
import time:       169 |        169 |                 sympy.core.core
import time:     48384 |      49174 |               sympy.core.assumptions
import time:       173 |        173 |               sympy.core.sorting
import time:       120 |        120 |                           sympy.multipledispatch.utils
import time:       160 |        280 |                         sympy.multipledispatch.conflict
import time:       245 |        524 |                       sympy.multipledispatch.dispatcher
import time:       181 |        704 |                     sympy.multipledispatch.core
import time:       143 |        847 |                   sympy.multipledispatch
import time:        21 |        868 |                 sympy.multipledispatch.dispatcher
import time:       254 |       1121 |               sympy.core.kind
import time:       146 |        146 |               sympy.core._print_helpers
import time:       187 |        187 |               sympy.core.singleton
import time:       180 |        180 |               sympy.core.traversal
import time:       803 |      51781 |             sympy.core.basic
import time:       309 |      74710 |           sympy.core.sympify
import time:      1025 |       1025 |             sympy.core.evalf
import time:       171 |        171 |             sympy.core.decorators
import time:       517 |        517 |               sympy.core.operations
import time:       491 |        491 |                 sympy.core.containers
import time:       680 |        680 |                     sympy.core.add
import time:       154 |        154 |                     sympy.core.rules
