# changed_files_count t1cpu t6cpu
4 17.8 20.7
2 11.2 21.3
1 10.3 17.9
3 36.8 43.1
1 9.5 21.1
2 2.7 5.8
2 47.9 59.2
1 7.9 16.4
1 10.5 21.1
1 10.4 21.4
3 9 17.3
1 10.6 20.8
16 189 89.7
1 7.6 16.1
1 7.9 16.1
6 54.1 58.7
1 7.5 15.7
1 18.4 23.9
2 9.8 18.1
5 37.7 32.9
2 2.5 5.8
1 17.5 20
6 48.3 59.1
1 2.4 5.5
1 17.5 23.5
1 10.2 20.5
5 24.9 29.5
2 11 19.8
6 25.8 32.5
1 12.7 19.7
1 10.5 21.1
3 141.1 114.3
3 25 30.5
1 22.4 24.8
1 13 20.2
36 226.5 76.8
1 2.4 5.7
3 18.1 23.1
1 10.4 20.9
1 11.9 17.3
1 2.3 5.5
3 11.3 21.5
1 17.1 23.8
3 11.8 22.4
1 13 21
5 36.2 30.9
1 19.5 18.4
1 10.2 20.7
1 81.5 33.7
1 15.1 20.4
41 191.4 109.5
39 70.5 61.6
1 18.5 25.5
1 10.5 22.1
2 17.9 28.2
1 7 16.5
1 11.1 18.1
1 18 20.4
2 29.9 28.5
1 10.7 22.1
1 8.2 16.9
1 9.5 18.1
1 3.3 6.5
1 9.6 17.8
4 24.3 27.3
4 26.1 27.7
1 89.6 34.1
1 17.1 25
1 22.7 26.6
3 31 27.7
1 11.2 22.1
2 12.7 19.9
5 11.3 17.9
3 21.4 27.2
2 23.3 27.3
3 24.5 26.9
44 76.7 51
2 16 19.8
3 27.5 25.7
3 19.9 24.1
5 39.5 29.1
1 5.3 6.5
5 13.9 22.5
6 25.3 27.5
1 13.5 21.3
1 8 15.7
2 131.2 38.6
5 24.8 26.9
1 7 15.4
1 7.5 15.5
2 15 22.4
2 20.4 22.3
2 23 28.5
3 16.3 23.7
3 18.7 20.6
1 10 21.8
38 152.1 80.3
1 19.2 22.7
1 9.6 19.9
1 13.3 21.1
1 2.5 5.5
5 25.4 27.1
2 16.1 21.1
1 16.9 22.2
1 9.9 16.6
1 31.8 33.9
1 92.7 31.8
1 7.3 15.3
1 12 19.7
2 25.8 22.3
6 54.2 55.5
1 7.2 15.2
1 83.1 31.3
1 7.5 15.6
2 9.6 20
1 10.2 17.9
323 1206.2 342
3 28.4 32.8
1 10.9 17.4
2 19.4 25.5
1 10.9 18.9
2 47.5 47.4
1 7.7 15.6
2 9.4 17.7
1 50.8 26
3 202.2 178.7
1 182.8 71.3
1 32.3 35.7
1 7.9 16.3
4 37.4 26.6
2 9.8 20.8
3 9 17.5
1 11.1 14.7
4 33.1 27.9
2 27.5 25.9
1 18.9 24.9
1 2.9 6.1
2 19.4 24.3
2 18.6 25.8
1 18.4 24.6
1 87.9 36
2 2.6 5.9
3 34.9 33.3
2 47.2 47.8
1 9.3 18.6
1 10.3 19.1
1 9.5 17.6
6 53.5 55.9
1 10.7 19.4
1 180.1 74.3
1 25 24.4
1 11.5 21.6
1 17.5 22.8
2 46.4 47.3
1 5.6 6.9
1 11.7 22.5
1 7.9 16.2
1 10.4 18.9
3 22.9 25.7
43 240.3 127.1
1 9.3 17.7
2 51.7 52.2
1 17.2 23.3
101 624.4 197.4
1 86.9 34.5
1 19.4 23.9
9 103.2 65.7
14 193.6 126.3
1 7.3 16.1
6 30.3 32
1 1.9 5.2
1 10.2 13.9
4 75.2 53.6
2 8.1 16.3
9 83.2 52
2 24.9 24.5
2 20.4 24.5
1 25.4 24.2
2 17.3 22.6
1 18.9 23.3
17 193 142.4
1 11.3 21.7
50 387.5 180.2
1 10.8 13.7
2 97.2 40.9
1 10.6 13.6
3 23 28.3
2 19.6 23
1 11.2 21.6
1 9.2 15.8
1 10.5 13.8
1 11.1 21.5
4 33.9 23.3
1 18.2 19.6
2 13.6 21.3
4 24.4 27.1
1 12.7 21.2
1 44.4 29.9
1 10.2 20.4
2 16.3 23.1
2 18.9 23.3
4 122.3 45.8
10 62.4 54.1
1 7.9 16.3
1 10.8 19.7
1 7.7 15.7
1 11.7 19.6
1 28.6 19.5
6 16.7 24.7
2 2.6 5.7
2 2.5 5.5
2 8.7 16
1 17.4 20
